,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,upper_band,lower_band,avg,jet_sd
77,JETAIRWAYS,EQ,04-Sep-2017,578.35,575.6,576.15,559.6,568.6,569.8,567.76,1370547,778142459.5,17150,67818,4.95,596.0364843872264,546.234944184203,571.1357142857147,12.450385050755875
78,JETAIRWAYS,EQ,05-Sep-2017,569.8,571.0,582.8,569.1,577.0,576.65,577.7,1183092,683477664.8,16380,91883,7.77,596.7586581969875,547.2199132315849,571.9892857142862,12.38468624135069
79,JETAIRWAYS,EQ,06-Sep-2017,576.65,576.9,584.9,571.0,581.0,580.6,580.63,1335688,775541455.15,16499,95272,7.13,595.3115231210927,547.7456197360509,571.5285714285718,11.891475846260446
80,JETAIRWAYS,EQ,07-Sep-2017,580.6,590.0,597.55,574.05,576.0,578.8,587.75,2225924,1308285319.35,23876,483186,21.71,592.0776906601042,549.208023625611,570.6428571428576,10.717416758623282
81,JETAIRWAYS,EQ,08-Sep-2017,578.8,580.7,586.8,565.3,567.0,569.85,574.9,1555956,894516332.8,21339,182593,11.74,590.6091581376269,549.190841862374,569.9000000000004,10.354579068813214
82,JETAIRWAYS,EQ,11-Sep-2017,569.85,572.95,582.9,568.5,574.0,572.85,576.6,1381124,796357234.15,20641,125806,9.11,590.747279846914,550.9098630102297,570.8285714285719,9.959354209171067
83,JETAIRWAYS,EQ,12-Sep-2017,572.85,578.75,589.0,574.7,581.9,582.0,581.43,1719228,999616598.8,25138,151898,8.84,591.6099277300232,553.6543579842635,572.6321428571433,9.488892436439949
84,JETAIRWAYS,EQ,13-Sep-2017,582.0,583.0,588.5,572.7,577.5,574.95,580.91,2181565,1267293601.2,28212,143381,6.57,591.6672465033079,553.6756106395502,572.671428571429,9.497908965939416
85,JETAIRWAYS,EQ,14-Sep-2017,574.95,576.0,582.6,574.0,576.8,576.8,578.01,736555,425735129.85,14977,71206,9.67,591.9631527662435,553.7439900909002,572.8535714285719,9.554790668835835
86,JETAIRWAYS,EQ,15-Sep-2017,576.8,574.0,574.0,561.1,566.0,566.0,566.22,1420827,804502436.3,25807,259016,18.23,591.6574444866795,552.8211269418927,572.2392857142861,9.709079386196716
87,JETAIRWAYS,EQ,18-Sep-2017,566.0,567.55,574.9,555.5,559.5,558.55,562.58,1289217,725289769.45,16212,391468,30.36,587.7988040251334,558.5154816891529,573.1571428571432,7.32083058399514
88,JETAIRWAYS,EQ,19-Sep-2017,558.55,562.0,565.0,553.05,555.4,555.8,558.4,1366823,763238016.35,27052,255791,18.71,588.861940470306,556.780916672552,572.821428571429,8.0202559494385
89,JETAIRWAYS,EQ,20-Sep-2017,555.8,557.0,559.45,546.2,548.8,547.95,552.21,742118,409805637.9,14351,186964,25.19,591.0647290696634,550.213842358909,570.6392857142862,10.212721677688611
90,JETAIRWAYS,EQ,21-Sep-2017,547.95,549.0,549.0,534.7,537.0,537.95,540.3,1293955,699126288.75,20782,344625,26.63,594.0562318463876,541.4509110107563,567.753571428572,13.151330208907831
91,JETAIRWAYS,EQ,22-Sep-2017,537.95,533.0,534.0,506.8,507.95,509.15,520.36,1504820,783045044.5,23055,329452,21.89,604.2433441463842,522.5995129964739,563.421428571429,20.410957787477567
92,JETAIRWAYS,EQ,25-Sep-2017,509.15,509.35,510.0,492.0,498.0,497.45,497.68,1477952,735550289.9,32762,304752,20.62,610.8102226800086,504.7183487485638,557.7642857142862,26.5229684828612
93,JETAIRWAYS,EQ,26-Sep-2017,497.45,495.1,495.1,476.1,480.5,481.55,482.57,2366540,1142024977.25,43646,221722,9.37,615.689761198599,485.6888102299731,550.689285714286,32.50023774215645
94,JETAIRWAYS,EQ,27-Sep-2017,481.55,483.0,491.0,466.4,471.1,469.6,481.71,1662165,800678436.8,36352,153315,9.22,618.672277296743,467.1062941318291,542.8892857142861,37.891495791228486
95,JETAIRWAYS,EQ,28-Sep-2017,469.6,474.0,481.6,466.65,479.5,478.8,475.34,1669963,793807328.0,21948,137318,8.22,617.632455555952,455.1389730154774,536.3857142857147,40.62337063511866
96,JETAIRWAYS,EQ,29-Sep-2017,478.8,472.6,488.0,470.5,481.15,481.85,481.34,1652549,795444118.3,27230,234721,14.2,613.1024972506484,446.66893132078104,529.8857142857147,41.608391482466835
97,JETAIRWAYS,EQ,03-Oct-2017,481.85,480.4,486.55,465.2,471.2,469.3,475.48,1689145,803151796.1,22094,182986,10.83,605.140256858054,438.5311717133752,521.8357142857146,41.6522712861697
98,JETAIRWAYS,EQ,04-Oct-2017,469.3,473.95,478.8,470.4,475.8,473.9,474.71,1116472,529996740.75,16627,108691,9.74,595.5759527340838,433.6597615516312,514.6178571428575,40.479047795613134
99,JETAIRWAYS,EQ,05-Oct-2017,473.9,478.4,494.5,474.4,488.75,489.1,487.75,2317462,1130350055.6,28548,232274,10.02,581.8096961068254,434.89744675031824,508.3535714285718,36.72806233912679
100,JETAIRWAYS,EQ,06-Oct-2017,489.1,492.15,494.0,484.05,488.0,488.95,489.41,1475093,721924524.45,18294,123326,8.36,568.8702649541435,436.8297350458572,502.85000000000036,33.01013247707157
101,JETAIRWAYS,EQ,09-Oct-2017,488.95,494.95,497.2,489.0,493.6,492.45,493.44,923561,455725345.95,14211,94593,10.24,555.9326931113407,440.32444974580284,498.1285714285718,28.902060841384465
102,JETAIRWAYS,EQ,10-Oct-2017,492.45,493.5,501.55,486.7,494.0,492.15,495.23,1153393,571199729.25,16980,136917,11.87,540.9096370153654,446.2546486989208,493.58214285714314,23.663747079111165
103,JETAIRWAYS,EQ,11-Oct-2017,492.15,495.7,502.6,476.95,477.75,480.6,492.59,1532883,755086805.1,25078,206744,13.49,524.5842692914754,452.9585878513824,488.7714285714289,17.906420360023247
104,JETAIRWAYS,EQ,12-Oct-2017,480.6,485.8,488.65,481.4,486.55,486.25,484.87,1194220,579042744.8,17090,88140,7.38,507.0241234322719,463.13301942487163,485.07857142857176,10.97277600185006
105,JETAIRWAYS,EQ,13-Oct-2017,486.25,488.85,493.7,478.8,482.55,482.3,485.88,1157241,562280975.8,17341,166735,14.41,500.18572658984806,466.1357019815813,483.1607142857147,8.512506152066706
106,JETAIRWAYS,EQ,16-Oct-2017,482.3,484.6,488.9,476.5,478.4,478.35,481.38,772540,371888155.4,10530,107885,13.96,496.83399508311084,466.7588620597471,481.796428571429,7.518783255840916
107,JETAIRWAYS,EQ,17-Oct-2017,478.35,477.55,483.75,474.2,481.05,481.8,479.29,750722,359813412.55,11377,75311,10.03,496.851185383041,466.7773860455313,481.81428571428614,7.518449834377429
108,JETAIRWAYS,EQ,18-Oct-2017,481.8,480.05,492.0,478.2,482.6,482.0,484.94,1273554,617597236.95,15387,107277,8.42,495.9979466315384,469.40205336846236,482.7000000000004,6.648973315769025
109,JETAIRWAYS,EQ,19-Oct-2017,482.0,483.0,484.7,471.05,472.5,476.4,479.03,202811,97152746.7,3351,69184,34.11,496.1021155089124,468.9550273482312,482.5285714285718,6.786772040170281
110,JETAIRWAYS,EQ,23-Oct-2017,476.4,479.4,479.4,462.65,469.0,468.35,469.46,966204,453591272.9,15123,206563,21.38,497.1190242241338,466.0095472044384,481.5642857142861,7.7773692549238405
111,JETAIRWAYS,EQ,24-Oct-2017,468.35,473.0,517.15,469.05,514.0,512.3,501.28,5466272,2740142087.95,69711,582063,10.65,505.74741095518175,463.52401761624753,484.63571428571464,10.555848334733549
112,JETAIRWAYS,EQ,25-Oct-2017,512.3,514.8,536.0,503.75,518.6,519.7,521.44,3679466,1918637116.15,55828,450474,12.24,515.155032179572,460.6592535347144,487.90714285714324,13.623944661214402
113,JETAIRWAYS,EQ,26-Oct-2017,519.7,518.0,535.5,510.55,532.6,529.2,525.08,2107833,1106788210.55,25817,241319,11.45,525.8615261069845,455.68133103587326,490.7714285714289,17.545048767777807
114,JETAIRWAYS,EQ,27-Oct-2017,529.2,530.0,533.0,519.0,525.9,524.3,525.58,1152357,605652626.3,14324,248946,21.6,532.6502958290662,453.9425613137917,493.2964285714289,19.676933628818613
115,JETAIRWAYS,EQ,30-Oct-2017,524.3,524.5,575.75,524.5,574.0,569.15,561.5,5929035,3329165286.8,75480,646784,10.91,555.2515540188676,442.29844598113317,498.7750000000004,28.238277009433602
116,JETAIRWAYS,EQ,31-Oct-2017,569.15,574.0,589.5,563.35,584.7,583.65,579.01,3710671,2148502704.3,47818,339945,9.16,577.481581821577,433.13984674985227,505.31071428571465,36.08543376793121
117,JETAIRWAYS,EQ,01-Nov-2017,583.65,588.0,597.6,572.85,589.5,590.5,586.36,3335000,1955517955.3,41921,216220,6.48,596.7567040549277,429.56472451650137,513.1607142857146,41.797994884606595
118,JETAIRWAYS,EQ,02-Nov-2017,590.5,591.95,596.65,583.1,589.9,589.75,589.92,2235395,1318714978.6,22123,605177,27.07,611.8493920784338,429.25775077870975,520.5535714285718,45.64791032493101
119,JETAIRWAYS,EQ,03-Nov-2017,589.75,593.5,627.3,586.4,626.8,622.7,611.75,5096330,3117674573.9,63299,504004,9.89,633.8384453814391,427.3258403328472,530.5821428571431,51.628151262147995
120,JETAIRWAYS,EQ,06-Nov-2017,622.7,622.0,631.95,614.0,624.0,623.25,623.37,2687665,1675416467.65,33230,266693,9.92,650.4913688994485,431.3729168148379,540.9321428571432,54.77961302115265
121,JETAIRWAYS,EQ,07-Nov-2017,623.25,624.0,624.95,590.55,602.0,600.45,603.1,2691345,1623148172.6,33654,266253,9.89,657.6102059244279,441.20407978985827,549.4071428571431,54.101531533642394
122,JETAIRWAYS,EQ,08-Nov-2017,600.45,599.0,627.0,594.05,625.7,623.7,613.93,3173540,1948331263.7,41010,320039,10.08,667.0777495485632,451.9793933085801,559.5285714285717,53.7745890599958
123,JETAIRWAYS,EQ,09-Nov-2017,623.7,625.7,674.5,617.45,672.8,665.0,641.6,6355737,4077838484.0,70361,873398,13.74,682.9165207712724,463.08347922872804,573.0000000000002,54.9582603856361
124,JETAIRWAYS,EQ,10-Nov-2017,665.0,666.0,696.85,652.65,686.3,684.5,677.4,7002388,4743408459.85,85124,647655,9.25,695.7257618752307,481.15280955334117,588.4392857142859,53.643238080472365
125,JETAIRWAYS,EQ,13-Nov-2017,684.5,686.0,714.9,677.5,708.0,708.0,695.49,5489498,3817876900.1,64785,420054,7.65,717.6710607168403,487.16465356887454,602.4178571428574,57.62660178699145
126,JETAIRWAYS,EQ,14-Nov-2017,708.0,710.0,718.3,682.25,686.0,694.0,706.38,4698809,3319124624.3,52339,515506,10.97,729.2837490402741,500.45196524544065,614.8678571428574,57.20794594870834
127,JETAIRWAYS,EQ,15-Nov-2017,694.0,690.0,718.7,685.0,687.55,690.9,704.36,6883510,4848493969.45,86028,690029,10.02,736.1307804903399,516.7049337953747,626.4178571428573,54.8564616737413
128,JETAIRWAYS,EQ,16-Nov-2017,690.9,690.9,698.4,672.0,680.0,684.55,682.39,3236629,2208638952.35,46973,374736,11.58,734.3199465408778,541.4086248876939,637.8642857142859,48.22783041329599
129,JETAIRWAYS,EQ,17-Nov-2017,684.55,687.65,707.85,680.6,687.6,690.55,696.16,3173659,2209383731.35,40151,419375,13.21,738.0838136952302,554.9876148761987,646.5357142857144,45.77404970475786
130,JETAIRWAYS,EQ,20-Nov-2017,690.55,690.55,727.55,687.6,719.3,720.05,707.43,3983296,2817917968.4,44472,684003,17.17,748.029469259314,564.5276735978291,656.2785714285716,45.875448915371216
131,JETAIRWAYS,EQ,21-Nov-2017,720.05,709.0,709.0,656.25,658.95,663.5,678.97,7783599,5284823778.25,91764,1461884,18.78,745.0740922207319,577.9116220649826,661.4928571428572,41.79061753893733
132,JETAIRWAYS,EQ,22-Nov-2017,663.5,663.0,684.0,660.0,668.0,669.7,675.04,5984331,4039660700.5,71772,649454,10.85,739.8834222421623,594.5237206149808,667.2035714285715,36.339925406795395
