,Series,Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Total_Cost,Day_Perc_Change,Trend
47,EQ,HDFCBANK,2017-07-20,1692.3,1693.9,1715.0,1688.15,       1712.00,1710.9,1701.51,924619,1573246423.25,29260,475755,51.45,7,2017,1581930647.1000001,0.010990959049813842,Slight or No change
48,EQ,HDFCBANK,2017-07-21,1710.9,1714.1,1715.25,1700.0,       1703.25,1703.05,1708.42,968377,1654392958.35,21353,438841,45.32,7,2017,1649194449.85,-0.00458822841779194,Slight or No change
49,EQ,HDFCBANK,2017-07-24,1703.05,1710.0,1740.0,1695.0,       1736.20,1735.1,1722.12,4919544,8472024384.4,120635,1776089,36.1,7,2017,8535900794.4,0.01881917735826888,Slight or No change
50,EQ,HDFCBANK,2017-07-25,1735.1,1759.0,1759.0,1733.05,       1735.85,1739.65,1746.35,2790117,4872510632.75,58567,1401306,50.22,7,2017,4853827039.05,0.002622327243386735,Slight or No change
51,EQ,HDFCBANK,2017-07-26,1739.65,1742.0,1755.0,1732.5,       1751.25,1747.55,1743.52,973836,1697904581.95,30206,460853,47.32,7,2017,1701827101.8,0.004541143333429032,Slight or No change
52,EQ,HDFCBANK,2017-07-27,1747.55,1756.0,1798.8,1751.55,       1785.10,1789.65,1783.31,4490428,8007829721.7,53641,2776563,61.83,7,2017,8036294470.200001,0.02409087007524824,Slight or No change
53,EQ,HDFCBANK,2017-07-28,1789.65,1772.0,1786.5,1761.1,       1774.40,1778.5,1773.42,2313849,4103424871.75,75518,1381677,59.71,7,2017,4115180446.5,-0.006230268488251922,Slight or No change
54,EQ,HDFCBANK,2017-07-31,1778.5,1777.55,1791.0,1766.55,       1782.00,1784.4,1778.4,1842285,3276319757.45,29449,1101211,59.77,7,2017,3287373354.0,0.0033174023053135215,Slight or No change
55,EQ,HDFCBANK,2017-08-01,1784.4,1781.85,1809.15,1772.2,       1806.00,1797.2,1787.29,2129215,3805526020.35,39634,1331147,62.52,8,2017,3826625198.0,0.007173279533736698,Slight or No change
56,EQ,HDFCBANK,2017-08-02,1797.2,1807.0,1807.0,1782.05,       1789.40,1791.65,1793.32,1849479,3316710577.8,28704,1073262,58.03,8,2017,3313619050.3500004,-0.0030881371021589388,Slight or No change
57,EQ,HDFCBANK,2017-08-03,1791.65,1788.0,1792.0,1774.4,       1777.00,1779.95,1784.16,1064196,1898691929.45,40189,532455,50.03,8,2017,1894215670.2,-0.006530293305054058,Slight or No change
58,EQ,HDFCBANK,2017-08-04,1779.95,1777.0,1796.75,1766.15,       1788.00,1790.25,1783.23,886267,1580414900.5,27909,492301,55.55,8,2017,1586639496.75,0.005786679401106776,Slight or No change
59,EQ,HDFCBANK,2017-08-07,1790.25,1786.0,1796.45,1785.0,       1788.95,1788.55,1788.9,479665,858070796.5,23375,258332,53.86,8,2017,857904835.75,-0.0009495880463622486,Slight or No change
60,EQ,HDFCBANK,2017-08-08,1788.55,1792.1,1797.25,1766.1,       1776.20,1777.9,1777.66,1008843,1793381528.15,22100,480607,47.64,8,2017,1793621969.7,-0.005954544183836008,Slight or No change
61,EQ,HDFCBANK,2017-08-09,1777.9,1771.0,1777.05,1758.35,       1764.85,1764.45,1765.73,817514,1443509253.85,28969,367123,44.91,8,2017,1442462577.3,-0.007565104899038166,Slight or No change
62,EQ,HDFCBANK,2017-08-10,1764.45,1760.0,1766.0,1752.85,       1759.90,1760.45,1759.88,1947111,3426688670.75,25032,824172,42.33,8,2017,3427791559.9500003,-0.00226699538099695,Slight or No change
